date,t2m_c_mean,t2m_c_median,t2m_c_min,t2m_c_max,t2m_c_q25,t2m_c_q75,t2m_c_iqr,t2m_c_std,t2m_c_se,d2m_c_mean,d2m_c_median,d2m_c_min,d2m_c_max,d2m_c_q25,d2m_c_q75,d2m_c_iqr,d2m_c_std,d2m_c_se,relative_humidity_mean,relative_humidity_median,relative_humidity_min,relative_humidity_max,relative_humidity_q25,relative_humidity_q75,relative_humidity_iqr,relative_humidity_std,relative_humidity_se,sp_hpa_mean,sp_hpa_median,sp_hpa_min,sp_hpa_max,sp_hpa_q25,sp_hpa_q75,sp_hpa_iqr,sp_hpa_std,sp_hpa_se,wind_speed_m_s_mean,wind_speed_m_s_median,wind_speed_m_s_min,wind_speed_m_s_max,wind_speed_m_s_q25,wind_speed_m_s_q75,wind_speed_m_s_iqr,wind_speed_m_s_std,wind_speed_m_s_se,u10_mean,v10_mean,tp_mm_sum,tp_mm_max,tp_mm_wet_hours,ssrd_w_m2_mean,ssrd_w_m2_max,ssrd_w_m2_total_mj_m2,wind_resultant_speed_m_s,wind_direction_deg,wind_direction_compass
2015-01-01,2.625051736831665,2.284423828125,0.920196533203125,4.307952880859375,1.8982696533203125,3.4796600341796875,1.581390380859375,0.9513624906539917,0.19837279229459637,1.017515778541565,0.6812744140625,-0.20751953125,3.178741455078125,0.4601898193359375,1.38018798828125,0.9199981689453125,0.9046225547790527,0.1886268419525682,89.25475311279297,89.48529815673828,80.8349838256836,95.78080749511719,86.05783462524414,93.39746856689453,7.339633941650391,4.355750560760498,0.9082367759557501,1024.7227783203125,1025.4205322265625,1019.7764282226562,1027.0396728515625,1024.1001586914062,1025.9288940429688,1.8287353515625,1.918473243713379,0.40002932429707083,3.3778939247131348,3.2480692863464355,2.9189293384552,4.4347944259643555,3.1012654304504395,3.555399775505066,0.45413434505462646,0.41231945157051086,0.0859745488485595,2.967766523361206,1.1806786060333252,0.002701032906770706,0.0008536403765901923,0.0,38.72695541381836,202.4486083984375,3.20659189453125,3.1940006430694807,248.3056524226853,W
2015-01-02,4.7189154624938965,4.7458953857421875,1.633697509765625,7.41583251953125,3.545196533203125,5.940116882324219,2.3949203491210938,1.6924973726272583,0.345479579494829,1.409210205078125,0.6490325927734375,-1.047821044921875,5.305389404296875,-0.6078338623046875,3.0831298828125,3.6909637451171875,2.202770948410034,0.4496387369859294,79.39496612548828,79.35907745361328,68.18785858154297,88.61640167236328,72.77127456665039,86.34046936035156,13.569194793701172,7.178230285644531,1.4652501213351536,1012.9630737304688,1012.738037109375,1009.7198486328125,1018.5693969726562,1010.5337524414062,1015.2226715087891,4.6889190673828125,2.6247482299804688,0.5357744888937884,6.069339275360107,6.2862629890441895,4.629500865936279,6.837981224060059,5.67173445224762,6.608666181564331,0.9369317293167114,0.6826045513153076,0.13933607056866332,5.413509845733643,2.065469264984131,2.720621109008789,0.8668277859687805,6.0,7.170987606048584,52.26808166503906,0.6195733154296875,5.79415672332473,249.11615830541882,W
2015-01-03,3.79187273979187,3.7489471435546875,2.887725830078125,4.9864501953125,3.199798583984375,4.232704162597656,1.0329055786132812,0.6558416485786438,0.13387311592361648,-1.4428901672363281,-1.4829254150390625,-2.660888671875,0.669921875,-2.31756591796875,-0.7419204711914062,1.5756454467773438,1.0382448434829712,0.21193084121742203,69.04263305664062,68.87538146972656,58.52901840209961,84.64099884033203,63.67810344696045,71.0147705078125,7.336667060852051,7.698620796203613,1.5714743894898346,1011.3580932617188,1012.1044921875,1005.556640625,1016.5967407226562,1006.6362457275391,1015.6851348876953,9.04888916015625,4.3177490234375,0.8813568287351867,6.103353977203369,6.188258171081543,5.08021879196167,6.851932048797607,5.568995118141174,6.647128939628601,1.0781338214874268,0.592906653881073,0.1210265639257987,5.950570583343506,1.0253478288650513,0.3662911653518677,0.17149746417999268,1.0,24.544851303100586,128.03236389160156,2.12067509765625,6.038263693936473,260.2233214340305,W
2015-01-04,2.8775622844696045,2.975433349609375,1.334716796875,4.145416259765625,2.5706405639648438,3.1801834106445312,0.6095428466796875,0.7389309406280518,0.15083364664112822,-0.5092671513557434,-0.5701141357421875,-2.083465576171875,0.812774658203125,-1.08624267578125,0.226104736328125,1.312347412109375,0.8113692402839661,0.16562005264044624,78.58224487304688,80.98146057128906,70.72454833984375,85.2904052734375,72.23149681091309,82.52715492248535,10.295658111572266,5.3448004722595215,1.0910028278351989,1014.8074340820312,1015.502197265625,1006.654052734375,1022.1231079101562,1010.5895538330078,1018.642333984375,8.052780151367188,4.906487464904785,1.0015325598648759,5.327025890350342,5.4270195960998535,4.217104434967041,6.786934852600098,5.0409804582595825,5.612300634384155,0.5713201761245728,0.5759371519088745,0.11756267884071211,4.681114673614502,-2.4334497451782227,0.06374198198318481,0.011922038160264492,0.0,37.39918899536133,199.16770935058594,3.2312900390625,5.275842326097034,297.4673990397878,NW
2015-01-05,2.775609254837036,3.00164794921875,1.080841064453125,3.64556884765625,2.4442138671875,3.4867401123046875,1.0425262451171875,0.8548435568809509,0.17449421035534815,1.9543596506118774,2.489044189453125,-0.726470947265625,3.046600341796875,1.3060760498046875,2.9633636474609375,1.65728759765625,1.2253928184509277,0.2501322616396431,94.3489761352539,94.49522399902344,87.29019165039062,99.03462982177734,92.19366645812988,96.17941093444824,3.9857444763183594,2.919151544570923,0.5958693138380123,1020.8165893554688,1020.9928588867188,1019.449951171875,1022.42626953125,1019.8481750488281,1021.5209197998047,1.6727447509765625,0.9845988154411316,0.20098039159829328,4.009884357452393,4.215845584869385,1.2178373336791992,5.969114303588867,2.692263901233673,5.237829327583313,2.54556542634964,1.5355217456817627,0.31343706382233316,3.7399768829345703,-1.327236294746399,5.507378578186035,0.4609224796295166,18.0,7.968214511871338,50.407039642333984,0.6884537475585938,3.9684988682091284,289.5386649271187,W
2015-01-06,1.061719298362732,1.201507568359375,-0.5595703125,2.570281982421875,0.20212554931640625,1.4714508056640625,1.2693252563476562,0.9481075406074524,0.19353164131444503,-0.1205495223402977,0.527008056640625,-3.045379638671875,2.480194091796875,-2.1368331909179688,1.3462295532226562,3.483062744140625,1.999550461769104,0.4081565288567323,92.03350830078125,94.06202697753906,80.0852279663086,99.3914794921875,85.8336009979248,99.30832481384277,13.474723815917969,7.537621974945068,1.5386106427170856,1020.8713989257812,1021.4568481445312,1017.93359375,1022.2249755859375,1020.4748382568359,1021.6455535888672,1.17071533203125,1.213613510131836,0.2477278203975851,2.6897525787353516,3.1639034748077393,0.24002410471439362,4.264543533325195,1.550119936466217,3.863202154636383,2.313082218170166,1.399167537689209,0.2856038776670761,-1.857181191444397,1.741302490234375,0.33718472719192505,0.06555160880088806,0.0,15.205863952636719,88.20210266113281,1.3137866455078124,2.5458311688623945,133.15559341681242,SE
2015-01-07,2.1049602031707764,2.1251983642578125,-0.101287841796875,4.620086669921875,0.4494781494140625,3.6183242797851562,3.1688461303710938,1.7074707746505737,0.34853601238405235,0.5118573307991028,1.07049560546875,-2.663848876953125,3.5291748046875,-2.3677749633789062,2.706298828125,5.074073791503906,2.4486546516418457,0.49982953773458483,89.3042984008789,92.21536254882812,79.83655548095703,96.02684020996094,83.61026573181152,93.26690292358398,9.656637191772461,5.785261631011963,1.180911585373407,1018.3463745117188,1017.9422607421875,1016.0130615234375,1020.6439208984375,1017.0011901855469,1020.1872253417969,3.18603515625,1.6344457864761353,0.3336298490923732,3.0449306964874268,3.104787588119507,2.406730890274048,3.9938161373138428,2.6474680304527283,3.3037712574005127,0.6563032269477844,0.43001383543014526,0.08777620659508288,1.7030415534973145,1.5744770765304565,1.7014554738998413,0.509554386138916,5.0,10.09249496459961,60.4367790222168,0.8719915649414063,2.3193379653380486,227.24634186284072,SW
2015-01-08,3.214777708053589,2.7435150146484375,0.78814697265625,6.337188720703125,1.3806686401367188,5.068962097167969,3.68829345703125,1.991589069366455,0.40653141643768564,1.8971519470214844,1.4807891845703125,-0.77386474609375,5.536895751953125,-0.4921112060546875,4.172088623046875,4.6641998291015625,2.35913348197937,0.4815561054970693,91.072509765625,90.997314453125,85.0362319946289,96.7535400390625,89.77469062805176,93.56193733215332,3.7872467041015625,3.00119948387146,0.6126172793157758,1014.1774291992188,1014.9127197265625,1007.650634765625,1019.9464721679688,1010.6280059814453,1017.2521362304688,6.6241302490234375,4.064913749694824,0.8297470445979817,4.1102471351623535,4.053921699523926,3.493623733520508,5.694165229797363,3.622843623161316,4.3263877630233765,0.7035441398620605,0.6073630452156067,0.12397746245009869,2.650331735610962,2.6441898345947266,10.788045883178711,2.0141615867614746,13.0,3.739881753921509,20.14969253540039,0.32312579040527345,3.7437946244633533,225.06646584472213,SW
2015-01-09,6.007469177246094,6.3339691162109375,4.331939697265625,8.013519287109375,4.950927734375,6.544548034667969,1.5936203002929688,1.1720248460769653,0.23923856989604667,3.190842866897583,3.080902099609375,1.69952392578125,5.113616943359375,2.635986328125,3.7463226318359375,1.1103363037109375,0.8928096294403076,0.18224400246434033,82.39643096923828,82.97084045410156,69.89651489257812,94.01325988769531,77.98134231567383,87.1643180847168,9.182975769042969,6.4139251708984375,1.309236993091214,1005.3639526367188,1002.0277099609375,998.3734130859375,1014.045654296875,1000.5668334960938,1011.9708557128906,11.404022216796875,6.049937725067139,1.234938366835746,7.253612041473389,7.286005973815918,5.615307331085205,10.07399845123291,5.9359657764434814,7.960156559944153,2.0241907835006714,1.3868513107299805,0.2830898383665411,6.826322078704834,1.2243034839630127,3.3715262413024902,0.9973719716072083,6.0,13.6945219039917,85.19989013671875,1.1832066650390625,6.935242760210853,259.8320825398105,W
2015-01-10,8.463852882385254,8.017898559570312,5.00274658203125,11.586273193359375,6.2350921630859375,10.871315002441406,4.636222839355469,2.4427483081817627,0.49862391042434917,5.185178279876709,5.7234344482421875,-4.681304931640625,10.256988525390625,3.6029205322265625,8.542953491210938,4.940032958984375,4.263086795806885,0.8701989482436142,80.7715072631836,82.53704833984375,49.57778549194336,95.69917297363281,76.16856575012207,91.6737232208252,15.505157470703125,13.213766098022461,2.69724871005351,995.8410034179688,995.7681274414062,991.0851440429688,1000.861083984375,993.8764343261719,997.9948577880859,4.1184234619140625,2.8612990379333496,0.5840602203710931,6.688533306121826,7.383496284484863,2.53749680519104,9.545397758483887,5.684470534324646,8.116320371627808,2.4318498373031616,2.11379337310791,0.43147626548257345,6.4926838874816895,0.795741081237793,5.720614433288574,1.374267816543579,9.0,6.721717834472656,42.758392333984375,0.5807564208984375,6.541265010006385,263.01269525660575,W
